system,latency,accuracy,diameter
CAR,0.02,0.55,5.605723385878755
CAR,0.02,0.5,6.198419110158508
CAR,0.01,0.5,6.565759243054658
CAR,0.01,0.55,5.368584061498383
CAR,0.01,0.8500000000000003,0.29809276959302616
CAR,0.01,0.6500000000000001,3.2128899491022933
CAR,0.01,0.6000000000000001,4.341385647233739
CAR,0.01,0.9000000000000004,0.24856235023553006
CAR,0.01,0.7000000000000002,1.8769134814622743
CAR,0.01,0.9500000000000004,0.24856235023553006
CAR,0.01,0.8000000000000003,0.5477738601058618
CAR,0.01,0.7500000000000002,1.0664868168144717
CAR,0.02,0.6000000000000001,4.412566452999472
CAR,0.02,0.6500000000000001,3.2212925297032564
CAR,0.03,0.5,6.913270978737226
CAR,0.03,0.55,5.891361495544331
CAR,0.03,0.6000000000000001,4.4905157411715955
CAR,0.03,0.6500000000000001,3.3672842761690034
CAR,0.03,0.7000000000000002,1.9281056924520992
CAR,0.03,0.7500000000000002,1.218326503535425
CAR,0.02,0.7000000000000002,1.917675733809674
CAR,0.02,0.8000000000000003,0.5491517511707643
CAR,0.02,0.9500000000000004,0.24856235023553006
CAR,0.02,0.7500000000000002,1.1021310026877706
CAR,0.02,0.8500000000000003,0.36300474787648
CAR,0.02,0.9000000000000004,0.24856235023553006
CAR,0.03,0.8500000000000003,0.37022322119426637
CAR,0.03,0.9000000000000004,0.24856235023553006
CAR,0.03,0.8000000000000003,0.6578019525360299
CAR,0.03,0.9500000000000004,0.24856235023553006
CAR,0.04,0.55,6.109134010841274
CAR,0.04,0.5,6.744323378981991
CAR,0.04,0.6000000000000001,5.09049686185973
CAR,0.04,0.6500000000000001,4.120491459211561
CAR,0.04,0.7500000000000002,1.298724112765693
CAR,0.04,0.7000000000000002,2.5365464042815633
CAR,0.04,0.8500000000000003,0.36571229096681424
CAR,0.04,0.8000000000000003,0.6513346008650021
CAR,0.05,0.5,7.022636507671056
CAR,0.05,0.55,6.314598622354286
CAR,0.05,0.6000000000000001,4.711931532277574
CAR,0.05,0.6500000000000001,3.590437300966672
CAR,0.04,0.9000000000000004,0.2495500810966958
CAR,0.04,0.9500000000000004,0.24856235023553006
CAR,0.05,0.7000000000000002,2.205383440681205
CAR,0.05,0.8500000000000003,0.3107886271442749
CAR,0.05,0.7500000000000002,1.1516944763522436
CAR,0.05,0.8000000000000003,0.7028779233621084
CAR,0.05,0.9000000000000004,0.24856235023553006
CAR,0.05,0.9500000000000004,0.24856235023553006
CAR,0.06,0.5,6.550823443049553
CAR,0.06,0.55,5.191563815232231
CAR,0.06,0.6000000000000001,4.247403790024529
CAR,0.06,0.7000000000000002,2.1921439421414037
CAR,0.06,0.6500000000000001,3.2395353421118256
CAR,0.06,0.7500000000000002,1.7224128740474625
CAR,0.06,0.8000000000000003,0.7241346815222875
CAR,0.06,0.9000000000000004,0.2834714594757612
CAR,0.07,0.5,6.5503688210713085
CAR,0.06,0.8500000000000003,0.45517256258596656
CAR,0.06,0.9500000000000004,0.24856235023553006
CAR,0.07,0.55,5.906838629689661
CAR,0.07,0.6000000000000001,5.58088849550664
CAR,0.07,0.6500000000000001,3.5519466137776803
CAR,0.07,0.7000000000000002,2.549823517230667
CAR,0.08,0.5,6.965053473357575
CAR,0.07,0.7500000000000002,1.608693060104345
CAR,0.07,0.8000000000000003,0.8405236544149303
CAR,0.07,0.8500000000000003,0.4774770681280714
CAR,0.08,0.6000000000000001,5.342047482647958
CAR,0.08,0.55,6.708971999280773
CAR,0.07,0.9000000000000004,0.27590127534904474
CAR,0.07,0.9500000000000004,0.24856235023553006
CAR,0.08,0.6500000000000001,3.8609547502241504
CAR,0.08,0.7000000000000002,2.8593539150073086
CAR,0.08,0.7500000000000002,1.4380929642072944
CAR,0.09,0.6500000000000001,3.824880544168331
CAR,0.09,0.55,6.834300789466573
CAR,0.08,0.8000000000000003,0.8598161140601903
CAR,0.09,0.5,7.540851610082028
CAR,0.09,0.6000000000000001,6.279643664970407
CAR,0.08,0.8500000000000003,0.5340474955150784
CAR,0.09,0.7000000000000002,2.763398137512133
CAR,0.08,0.9500000000000004,0.24856235023553006
CAR,0.08,0.9000000000000004,0.295520425188031
CAR,0.09,0.7500000000000002,1.4746162156361822
CAR,0.09,0.8000000000000003,0.9152040497728952
CAR,0.1,0.5,6.026293405506819
CAR,0.09,0.8500000000000003,0.4735614043782403
CAR,0.09,0.9000000000000004,0.3131140768097849
CAR,0.1,0.6000000000000001,7.1103107578944105
CAR,0.1,0.6500000000000001,4.55414283340278
CAR,0.1,0.7000000000000002,3.1688995411673115
CAR,0.1,0.7500000000000002,1.8688167116350405
CAR,0.1,0.55,6.111229047116869
CAR,0.09,0.9500000000000004,0.24856235023553006
CAR,0.1,0.8500000000000003,0.5716018542099602
CAR,0.1,0.8000000000000003,1.228246740148635
CAR,0.1,0.9000000000000004,0.3160006895683938
CAR,0.11,0.7000000000000002,3.164318662100323
CAR,0.1,0.9500000000000004,0.24856235023553006
CAR,0.11,0.55,6.212416494804214
CAR,0.11,0.8000000000000003,0.996499614889832
CAR,0.11,0.7500000000000002,1.972140429990585
CAR,0.11,0.6500000000000001,4.226551169810829
CAR,0.11,0.5,6.7199709230754605
CAR,0.11,0.8500000000000003,0.589166404633298
CAR,0.11,0.6000000000000001,6.380459933757404
CAR,0.11,0.9000000000000004,0.3604183048994877
CAR,0.11,0.9500000000000004,0.24856235023553006
CAR,0.12,0.5,6.4999290252265824
CAR,0.12,0.7000000000000002,3.0611314138838384
CAR,0.12,0.6500000000000001,4.437898111816924
CAR,0.12,0.55,6.346979193650284
CAR,0.12,0.9000000000000004,0.33233958928081575
CAR,0.12,0.9500000000000004,0.24856235023553006
CAR,0.12,0.8500000000000003,0.7165613212546034
CAR,0.12,0.6000000000000001,6.271292879139037
CAR,0.12,0.7500000000000002,1.95021418154784
CAR,0.12,0.8000000000000003,1.1372517791416112
CAR,0.13,0.55,7.067194134803376
CAR,0.13,0.5,6.8150538571089445
CAR,0.13,0.6000000000000001,6.53192228717375
CAR,0.13,0.7000000000000002,2.951296507566823
CAR,0.13,0.6500000000000001,5.491019319330715
CAR,0.14,0.5,6.241130869649802
CAR,0.13,0.7500000000000002,2.065099771145995
CAR,0.13,0.8500000000000003,0.6777761607908777
CAR,0.13,0.9500000000000004,0.24856235023553006
CAR,0.14,0.55,6.756783776885209
CAR,0.13,0.8000000000000003,1.1650935947157466
CAR,0.13,0.9000000000000004,0.3980525696224775
CAR,0.14,0.6000000000000001,5.731988071772223
CAR,0.14,0.6500000000000001,4.4423906449941075
CAR,0.14,0.7000000000000002,3.2766925560507767
CAR,0.15,0.55,6.579673408919874
CAR,0.14,0.8000000000000003,1.1761589664222858
CAR,0.14,0.8500000000000003,0.7594336256207032
CAR,0.14,0.7500000000000002,2.5094986406745727
CAR,0.14,0.9000000000000004,0.48999049959965535
CAR,0.15,0.7000000000000002,3.5357106892120975
CAR,0.15,0.5,6.889704355501025
CAR,0.15,0.7500000000000002,3.527468781815101
CAR,0.15,0.6500000000000001,4.603040699192023
CAR,0.14,0.9500000000000004,0.24856235023553006
CAR,0.15,0.6000000000000001,5.427059755795042
CAR,0.15,0.8000000000000003,1.568738355015585
CAR,0.16,0.5,7.111714946867415
CAR,0.15,0.9000000000000004,0.4175760043184992
CAR,0.16,0.55,6.795909114454455
CAR,0.16,0.6500000000000001,4.12396898893283
CAR,0.16,0.6000000000000001,5.907556174282425
CAR,0.15,0.8500000000000003,0.7394107953831347
CAR,0.16,0.7000000000000002,3.5625033209964
CAR,0.16,0.7500000000000002,2.7276081493753206
CAR,0.15,0.9500000000000004,0.24856235023553006
CAR,0.16,0.8000000000000003,1.202008909655863
CAR,0.16,0.8500000000000003,0.6809534251972844
CAR,0.16,0.9000000000000004,0.39291457933621415
CAR,0.17,0.5,6.221554794065445
CAR,0.16,0.9500000000000004,0.24856235023553006
CAR,0.17,0.6000000000000001,5.104496115072551
CAR,0.17,0.55,6.001445206751414
CAR,0.17,0.6500000000000001,3.91934635334792
CAR,0.17,0.7500000000000002,1.739873072465163
CAR,0.17,0.8500000000000003,0.7401833761107594
CAR,0.17,0.7000000000000002,3.2249219089245673
CAR,0.17,0.8000000000000003,0.9702159496768866
CAR,0.17,0.9500000000000004,0.24856235023553006
CAR,0.17,0.9000000000000004,0.35143228655158093
CAR,0.18,0.6000000000000001,4.593045674428194
CAR,0.18,0.5,7.329522558328925
CAR,0.18,0.55,5.930925944974197
CAR,0.18,0.6500000000000001,3.623647342603996
CAR,0.18,0.7000000000000002,2.9721451748999264
CAR,0.18,0.7500000000000002,1.917680613222329
CAR,0.18,0.8500000000000003,0.7344464402901404
CAR,0.18,0.9000000000000004,0.3839867446099567
CAR,0.18,0.9500000000000004,0.24856235023553006
CAR,0.19,0.5,7.078007303864474
CAR,0.18,0.8000000000000003,1.4793619195441667
CAR,0.19,0.55,7.255711040463787
CAR,0.19,0.6000000000000001,5.498172715948181
CAR,0.19,0.7000000000000002,3.2664947445034644
CAR,0.19,0.7500000000000002,2.293516826584577
CAR,0.19,0.6500000000000001,4.403818237287333
CAR,0.19,0.8000000000000003,1.5011386268379958
CAR,0.2,0.6000000000000001,6.676550338105759
CAR,0.2,0.5,7.389490715295963
CAR,0.19,0.9500000000000004,0.24856235023553006
CAR,0.19,0.9000000000000004,0.4930982851266737
CAR,0.19,0.8500000000000003,0.6963035135535248
CAR,0.2,0.55,7.994673591871452
CAR,0.2,0.6500000000000001,5.623875331146553
CAR,0.2,0.7500000000000002,2.7725040670293954
CAR,0.2,0.7000000000000002,3.9597368919557856
CAR,0.2,0.8500000000000003,0.6730780463595027
CAR,0.2,0.8000000000000003,1.555639074455385
CAR,0.2,0.9000000000000004,0.501596582247226
CAR,0.21,0.6000000000000001,7.252775283000222
CAR,0.21,0.5,7.551773023792888
CAR,0.2,0.9500000000000004,0.24856235023553006
CAR,0.21,0.55,6.621610604188525
CAR,0.21,0.7500000000000002,2.4756872134662
CAR,0.21,0.7000000000000002,3.2914998106097872
CAR,0.21,0.6500000000000001,5.697754966223055
CAR,0.21,0.8500000000000003,0.6651661071985144
CAR,0.21,0.8000000000000003,1.3191139888061405
CAR,0.21,0.9500000000000004,0.24856235023553006
CAR,0.22,0.55,6.795935329418584
CAR,0.21,0.9000000000000004,0.39580623525718506
CAR,0.22,0.7000000000000002,3.612307590032513
CAR,0.22,0.6000000000000001,6.737578768897841
CAR,0.22,0.5,7.579763164752649
CAR,0.22,0.6500000000000001,5.894570101973566
CAR,0.22,0.7500000000000002,2.1247289966978142
CAR,0.22,0.8500000000000003,0.7742644281319649
CAR,0.22,0.8000000000000003,1.053577520364224
CAR,0.23,0.5,7.967318533314845
CAR,0.22,0.9000000000000004,0.40301447503599375
CAR,0.22,0.9500000000000004,0.24856235023553006
CAR,0.23,0.7000000000000002,4.795354512163388
CAR,0.23,0.6500000000000001,5.539164024574981
CAR,0.23,0.6000000000000001,6.10572981125173
CAR,0.23,0.55,7.126876789395052
CAR,0.23,0.7500000000000002,3.2430396669401946
CAR,0.23,0.8000000000000003,1.6514793930712142
CAR,0.23,0.9000000000000004,0.4139034238963608
CAR,0.23,0.9500000000000004,0.24856235023553006
CAR,0.23,0.8500000000000003,0.6731116870687288
CAR,0.24,0.55,6.787862582421361
CAR,0.24,0.6000000000000001,5.9145295731436685
CAR,0.24,0.5,7.651402919858697
CAR,0.24,0.8500000000000003,0.5992335084499315
CAR,0.24,0.9500000000000004,0.24856235023553006
CAR,0.24,0.8000000000000003,1.6510788158410832
CAR,0.24,0.9000000000000004,0.4201490499041036
CAR,0.24,0.6500000000000001,6.6036068996176684
CAR,0.24,0.7000000000000002,3.7211913995375685
CAR,0.24,0.7500000000000002,2.237291738383221
CAR,0.25,0.5,7.756982965440487
CAR,0.25,0.55,6.521783028220176
CAR,0.25,0.6000000000000001,6.015018661489557
CAR,0.25,0.6500000000000001,4.730663295271415
CAR,0.25,0.7500000000000002,2.5369894518492493
CAR,0.25,0.9000000000000004,0.4323732247587174
CAR,0.25,0.8000000000000003,1.6417050190816558
CAR,0.25,0.9500000000000004,0.24856235023553006
CAR,0.25,0.7000000000000002,4.868893081637139
CAR,0.26,0.5,7.1415282798506885
CAR,0.25,0.8500000000000003,0.614345771414134
CAR,0.26,0.55,6.811775250673717
CAR,0.26,0.6000000000000001,6.093636439948113
CAR,0.26,0.6500000000000001,4.835295556389292
CAR,0.26,0.7000000000000002,4.141562926720445
CAR,0.26,0.8000000000000003,2.0061203253981974
CAR,0.26,0.7500000000000002,4.000967979574683
CAR,0.27,0.5,7.161483427249165
CAR,0.26,0.8500000000000003,0.7639126444354617
CAR,0.26,0.9000000000000004,0.4083319428447635
CAR,0.26,0.9500000000000004,0.24856235023553006
CAR,0.27,0.55,6.165530696196044
CAR,0.27,0.6500000000000001,4.443194175571727
CAR,0.27,0.6000000000000001,5.954583204896502
CAR,0.27,0.7500000000000002,3.339841812141067
CAR,0.27,0.7000000000000002,4.070837584987518
CAR,0.27,0.8500000000000003,0.69603006173948
CAR,0.27,0.8000000000000003,3.026088805006527
CAR,0.27,0.9000000000000004,0.36920019135982624
CAR,0.27,0.9500000000000004,0.2507611640930534
CAR,0.28,0.55,7.336026287261264
CAR,0.28,0.5,7.071919800539161
CAR,0.28,0.6000000000000001,6.004509237327612
CAR,0.28,0.6500000000000001,4.954054141353235
CAR,0.28,0.7500000000000002,3.525181610365958
CAR,0.28,0.7000000000000002,4.450782053265581
CAR,0.28,0.8000000000000003,2.284034188937094
CAR,0.28,0.8500000000000003,0.9238727651393239
CAR,0.28,0.9500000000000004,0.24856235023553006
CAR,0.28,0.9000000000000004,0.4437286262378994
CAR,0.29,0.5,6.958995779010047
CAR,0.29,0.55,7.046369887589153
CAR,0.29,0.6000000000000001,6.387997469594087
CAR,0.29,0.7000000000000002,4.1282731992001285
CAR,0.29,0.6500000000000001,4.820418338285897
CAR,0.29,0.7500000000000002,4.02032743687989
CAR,0.29,0.8500000000000003,0.8253745920059903
CAR,0.29,0.9000000000000004,0.54785677808575
CAR,0.29,0.8000000000000003,2.5898271157621156
CAR,0.29,0.9500000000000004,0.25696161946042584
CAR,0.3,0.55,7.186733207056825
CAR,0.3,0.5,6.731739044349414
CAR,0.3,0.6000000000000001,6.056788286138727
CAR,0.3,0.6500000000000001,5.516382950255864
CAR,0.3,0.7000000000000002,4.033167253870568
CAR,0.3,0.7500000000000002,3.760586841947518
CAR,0.31,0.5,7.722508183392692
CAR,0.3,0.8000000000000003,2.0096873989555792
CAR,0.3,0.9000000000000004,0.4925144249723516
CAR,0.3,0.8500000000000003,1.1599033072366092
CAR,0.31,0.55,7.15397947493223
CAR,0.3,0.9500000000000004,0.24856235023553006
CAR,0.31,0.6000000000000001,6.106407789796588
CAR,0.31,0.6500000000000001,5.212850663045128
CAR,0.31,0.7500000000000002,3.9677178398278232
CAR,0.31,0.7000000000000002,3.82342060778322
CAR,0.32,0.5,6.969862990125429
CAR,0.31,0.8000000000000003,1.8930798832359985
CAR,0.32,0.55,7.383073765143984
CAR,0.31,0.8500000000000003,1.2128247297710621
CAR,0.31,0.9000000000000004,0.5350712209070834
CAR,0.31,0.9500000000000004,0.2508126744951683
CAR,0.32,0.6000000000000001,5.488254841965175
CAR,0.32,0.6500000000000001,5.062919799029914
CAR,0.32,0.7000000000000002,3.720236830397388
CAR,0.32,0.8000000000000003,2.176261106176015
CAR,0.32,0.9000000000000004,0.5995001897566934
CAR,0.32,0.7500000000000002,4.469670663295622
CAR,0.32,0.8500000000000003,1.142700739879381
CAR,0.32,0.9500000000000004,0.2581673061879715
CAR,0.33,0.6000000000000001,5.759967699434778
CAR,0.33,0.5,6.548718157716436
CAR,0.33,0.55,5.856860104719242
CAR,0.33,0.7000000000000002,4.16222107557709
CAR,0.33,0.6500000000000001,5.141242597525872
CAR,0.33,0.7500000000000002,3.431796144121927
CAR,0.33,0.8500000000000003,1.2479178367957364
CAR,0.33,0.9500000000000004,0.27425455711001057
CAR,0.33,0.8000000000000003,2.374448848879409
CAR,0.34,0.5,7.08695759701972
CAR,0.33,0.9000000000000004,0.509066727497044
CAR,0.34,0.55,6.22020863643478
CAR,0.34,0.6000000000000001,6.468737110772175
CAR,0.34,0.6500000000000001,5.2904674109415115
CAR,0.34,0.8000000000000003,2.025778991430075
CAR,0.34,0.7000000000000002,4.12166321049984
CAR,0.34,0.7500000000000002,3.2747914607008455
CAR,0.34,0.8500000000000003,0.9140236213730667
CAR,0.35000000000000003,0.5,6.982228373231191
CAR,0.34,0.9000000000000004,0.46792721528442793
CAR,0.35000000000000003,0.55,7.230800487098584
CAR,0.34,0.9500000000000004,0.24856235023553006
CAR,0.35000000000000003,0.6000000000000001,5.936259217856679
CAR,0.35000000000000003,0.6500000000000001,5.4218348632733955
CAR,0.35000000000000003,0.7000000000000002,4.5741963145232605
CAR,0.35000000000000003,0.7500000000000002,3.0616717417605037
CAR,0.35000000000000003,0.8000000000000003,1.6561440313817792
CAR,0.35000000000000003,0.9000000000000004,0.5113729324644953
CAR,0.35000000000000003,0.9500000000000004,0.24856235023553006
CAR,0.35000000000000003,0.8500000000000003,0.8191091351856082
CAR,0.36,0.55,6.235442259852282
CAR,0.36,0.6000000000000001,5.833332422937024
CAR,0.36,0.7000000000000002,4.492452222891168
CAR,0.36,0.6500000000000001,4.855592292663641
CAR,0.36,0.7500000000000002,2.860519308291911
CAR,0.36,0.5,6.930412840370238
CAR,0.36,0.8000000000000003,1.8322537711207842
CAR,0.36,0.8500000000000003,0.8303665287953714
CAR,0.36,0.9000000000000004,0.5124409988829277
CAR,0.36,0.9500000000000004,0.24856235023553006
CAR,0.37,0.5,6.183064717652089
CAR,0.37,0.55,5.9469940986634455
CAR,0.37,0.6000000000000001,5.889599133096684
CAR,0.37,0.6500000000000001,5.223446782044216
CAR,0.37,0.7500000000000002,3.0635007005506423
CAR,0.37,0.8500000000000003,0.8510128447652975
CAR,0.37,0.7000000000000002,4.326966685622545
CAR,0.37,0.8000000000000003,1.8394164954166488
CAR,0.37,0.9000000000000004,0.5285509581250187
CAR,0.38,0.5,7.283276898674175
CAR,0.37,0.9500000000000004,0.3310585745231184
CAR,0.38,0.6000000000000001,6.399632653797023
CAR,0.38,0.55,6.737907664072715
CAR,0.38,0.6500000000000001,5.109006150643981
CAR,0.38,0.7000000000000002,4.5879796284123024
CAR,0.38,0.8000000000000003,1.7477953574090594
CAR,0.38,0.8500000000000003,0.8896988146558759
CAR,0.38,0.9000000000000004,0.4653962180569711
CAR,0.38,0.7500000000000002,2.9688025011841495
CAR,0.39,0.5,6.138111989001882
CAR,0.38,0.9500000000000004,0.30416127863199216
CAR,0.39,0.55,6.766282997736109
CAR,0.39,0.6000000000000001,5.9642417984116785
CAR,0.39,0.7000000000000002,4.6310087402159645
CAR,0.39,0.6500000000000001,5.5251868117383545
CAR,0.39,0.7500000000000002,3.2512046613514296
CAR,0.39,0.8500000000000003,1.017808681075756
CAR,0.39,0.9000000000000004,0.5939334055507954
CAR,0.39,0.9500000000000004,0.26394028471286746
CAR,0.4,0.5,6.529985685506606
CAR,0.4,0.55,7.123868426657204
CAR,0.39,0.8000000000000003,2.047704607929922
CAR,0.4,0.6000000000000001,6.251423285659434
CAR,0.4,0.6500000000000001,5.39005367407412
CAR,0.4,0.7000000000000002,6.584603799217916
CAR,0.4,0.7500000000000002,6.6981364916478965
CAR,0.4,0.8500000000000003,1.1676953931086422
CAR,0.4,0.8000000000000003,4.8556813168769075
CAR,0.4,0.9500000000000004,0.37527856262615006
CAR,0.41000000000000003,0.5,6.996195029257766
CAR,0.41000000000000003,0.55,6.7840432877445425
CAR,0.4,0.9000000000000004,0.6283459308282517
CAR,0.41000000000000003,0.6500000000000001,5.894991779540228
CAR,0.41000000000000003,0.6000000000000001,5.970544546555746
CAR,0.41000000000000003,0.7500000000000002,6.485350438333956
CAR,0.41000000000000003,0.7000000000000002,6.018158508377611
CAR,0.41000000000000003,0.8000000000000003,4.895343432729154
CAR,0.41000000000000003,0.8500000000000003,1.553562712212025
CAR,0.41000000000000003,0.9000000000000004,0.6604643479586289
CAR,0.41000000000000003,0.9500000000000004,0.29570012803283674
CAR,0.42,0.5,7.530098976492679
CAR,0.42,0.55,6.345688544383964
CAR,0.42,0.6000000000000001,5.95399994560748
CAR,0.42,0.6500000000000001,5.921914983963372
CAR,0.42,0.7500000000000002,5.906797835155788
CAR,0.42,0.7000000000000002,5.364294646638064
CAR,0.42,0.8500000000000003,2.103118317510276
CAR,0.42,0.8000000000000003,4.380941827269952
CAR,0.42,0.9000000000000004,0.7450007927373185
CAR,0.42,0.9500000000000004,0.3025258700199004
CAR,0.43,0.5,6.533616462076605
CAR,0.43,0.55,7.199587552866338
CAR,0.43,0.6000000000000001,5.882505376422966
CAR,0.43,0.6500000000000001,5.247083620830295
CAR,0.43,0.8500000000000003,1.2449565018076367
CAR,0.43,0.7000000000000002,5.98972935343881
CAR,0.43,0.7500000000000002,5.700957420060466
CAR,0.43,0.8000000000000003,3.1365304736512813
CAR,0.43,0.9000000000000004,0.6551047250829559
CAR,0.44,0.5,8.747477804274597
CAR,0.43,0.9500000000000004,0.32612879368328157
CAR,0.44,0.55,8.210234663241616
CAR,0.44,0.6000000000000001,6.362072044417855
CAR,0.44,0.6500000000000001,5.748752670254869
CAR,0.44,0.7000000000000002,4.156531881946261
CAR,0.44,0.7500000000000002,4.728651009824714
CAR,0.44,0.8000000000000003,3.7764331533671833
CAR,0.44,0.9500000000000004,0.38867639031244894
CAR,0.44,0.9000000000000004,0.7743185883534105
CAR,0.44,0.8500000000000003,1.8073498724744959
CAR,0.45,0.5,8.34222379557325
CAR,0.45,0.55,8.14024992705894
CAR,0.45,0.6000000000000001,5.964939308350425
CAR,0.45,0.6500000000000001,5.274876746897438
CAR,0.45,0.7000000000000002,4.561265137139437
CAR,0.45,0.7500000000000002,5.2537025465608265
CAR,0.45,0.8000000000000003,6.204715660037438
CAR,0.45,0.8500000000000003,4.624526917610175
CAR,0.45,0.9000000000000004,0.7137715244288252
CAR,0.46,0.55,7.804844340400451
CAR,0.45,0.9500000000000004,0.3888932385581933
CAR,0.46,0.5,8.37799165415743
CAR,0.46,0.6000000000000001,4.6553264264399985
CAR,0.46,0.6500000000000001,4.52391715861194
CAR,0.46,0.7000000000000002,5.1599269950142705
CAR,0.46,0.7500000000000002,6.444432089279839
CAR,0.46,0.8000000000000003,3.962897827873788
CAR,0.46,0.8500000000000003,4.601106991686409
CAR,0.46,0.9000000000000004,0.9570519326127135
CAR,0.47000000000000003,0.5,6.8402436616326785
CAR,0.46,0.9500000000000004,0.3503303051763894
CAR,0.47000000000000003,0.6000000000000001,5.8779813441032465
CAR,0.47000000000000003,0.6500000000000001,4.330881201070313
CAR,0.47000000000000003,0.55,7.746765206714759
CAR,0.47000000000000003,0.7000000000000002,5.304135679774971
CAR,0.47000000000000003,0.7500000000000002,6.364490187686044
CAR,0.47000000000000003,0.8500000000000003,2.0865088450200115
CAR,0.47000000000000003,0.8000000000000003,5.496822902947379
CAR,0.47000000000000003,0.9500000000000004,0.3998710677830369
CAR,0.47000000000000003,0.9000000000000004,0.9998775593053744
CAR,0.48,0.5,6.948505340233865
CAR,0.48,0.55,7.693766815014517
CAR,0.48,0.7000000000000002,4.0414619374686795
CAR,0.48,0.6500000000000001,5.583301734070618
CAR,0.48,0.6000000000000001,6.359364236902894
CAR,0.48,0.7500000000000002,5.5497570452376
CAR,0.48,0.8000000000000003,2.5849728758132917
CAR,0.48,0.9000000000000004,0.9637760479625199
CAR,0.48,0.9500000000000004,0.32948559299800323
CAR,0.48,0.8500000000000003,2.257422623001519
CAR,0.49,0.5,9.442020354395066
CAR,0.49,0.55,5.370519017426679
CAR,0.49,0.6000000000000001,8.52762154144476
CAR,0.49,0.6500000000000001,4.291501283559847
CAR,0.49,0.7000000000000002,5.428816415429075
CAR,0.49,0.8500000000000003,2.1001037488871894
CAR,0.49,0.7500000000000002,4.025055553069332
CAR,0.49,0.8000000000000003,2.678315120068018
CAR,0.49,0.9000000000000004,0.7218366089222492
CAR,0.49,0.9500000000000004,0.3480557345257765
CAR,0.5,0.5,9.614076687615848
CAR,0.5,0.55,4.77917551899857
CAR,0.5,0.6000000000000001,5.3716768805903286
CAR,0.5,0.6500000000000001,4.573128985441057
CAR,0.5,0.7000000000000002,3.919062624223535
CAR,0.5,0.7500000000000002,3.251370067765897
CAR,0.5,0.8000000000000003,2.440960645171492
CAR,0.5,0.9000000000000004,0.8943364337564219
CAR,0.5,0.8500000000000003,2.1170910664344778
CAR,0.51,0.5,6.984659001595127
